"Brand","Mean(Star2)"
"Aiwa",5.191489361702128
"Akai",6
"Altius",6
"Aoa",5.1
"Ark",7
"Avel Innovations",4.5
"Bauhn",5.938356164383561
"Belgique",4.833333333333333
"Blaupunkt",4.560344827586204
"Brooklyn",5
"Caixun",5.733870967741935
"Chiq",4.979166666666665
"Coocaa",5.812500000000001
"Decamax",3.5
"Dgtec",5.916666666666667
"Digitech",4.777777777777778
"Dynalink",5.5
"Eko",4.630890052356021
"Emete",4.600000000000001
"Englaon",4.409090909090909
"Ffalcon",5.879310344827586
"Fpd",5
"Furrion",4.25
"Gorilla",6
"Hisense",5.26993865030675
"Hubbl",7
"Hubbl Glass",5.5
"Hyundai",5.681818181818182
"Iluma",4.25
"Jvc",4.948529411764706
"Kodak",6
"Kogan",4.670351105331599
"Konic",5.406249999999998
"Konka",5.0588235294117645
"Lg",4.926793557833094
"Linsar",6.035714285714286
"Loewe",5.068965517241381
"Lsp Tv",5
"Metz",4.833333333333333
"Monster",6.5
"Myvi",4.7
"Palsonic",5
"Panasonic",5.087209302325579
"Philips",4.641025641025644
"Polaroid",6
"Prism+",4.9375
"Q.bell",4.75
"Qbell",4.909090909090908
"Rca",4.5
"S Vision",4.5
"Samsung",4.346251053074986
"Sharetv",3
"Sharp",4.681818181818182
"Shenzhen Xinchaoda Technology Co., Ltd",5.125
"Signify",4.5
"Skyworth",5.40625
"Smarttech",5.8
"Smtv",5.1
"Soniq",6
"Sony",4.190217391304347
"Spark Electronics",3.0689655172413803
"Sphere",4.769230769230769
"Stan Cash",5
"Svision",5.25
"Sylvox",5.6515151515151505
"Tavice",4.5
"Tcl",4.619791666666667
"Teac",5.076923076923077
"Teco",5.2
"Telefunken",5.147058823529412
"Tenet",5
"Thomson",5.75
"Toshiba",5.269999999999999
"Vdt",4.5
"Veon",4.916666666666666
"Walton",6.270833333333334
"Wintal",4
"Yokohama",5
"Zen Tv",4.625
